Department,Test Name,Story‑telling (Arabic),Story‑telling (English)
Immunology & Serology – Infectious,Hepatitis B Surface Antigen (HBsAg),فحص مستضد سطح التهاب الكبد الوبائي ب يدل على فحص ما إذا كانت معدات مصنع خطيرة تعمل حالياً وتنتج مواد ضارة في كبدك. يكتشف هذا الفحص عدوى فيروس التهاب الكبد الوبائي ب النشطة من خلال العثور على بروتينات الفيروس على سطح خلايا الكبد المصابة. فكر فيه مثل رؤية شعارات شركة محددة على الشاحنات التي تخبرك أي مصنع يعمل ويلقي النفايات في حيكم. النتائج الإيجابية تعني أن الفيروس يتكاثر بنشاط في كبدك، مما قد يسبب ضرراً مع مرور الوقت. الكشف المبكر يسمح للأطباء بمراقبة صحة الكبد عن كثب وبدء العلاجات التي يمكنها منع مضاعفات خطيرة مثل تليف الكبد أو سرطان الكبد من التطور.,"Hepatitis B Surface Antigen (HBsAg) is like checking if dangerous factory equipment is currently running and producing harmful products in your liver. This test detects active hepatitis B virus infection by finding virus proteins on the surface of infected liver cells. Think of it like spotting specific company logos on trucks that tell you which factory is operating and dumping waste in your neighborhood. Positive results mean the virus is actively multiplying in your liver, potentially causing damage over time. Early detection allows doctors to monitor liver health closely and start treatments that can prevent serious complications like cirrhosis or liver cancer from developing."
Immunology & Serology – Infectious,Hepatitis C Antibodies (Anti‑HCV),فحص الأجسام المضادة لالتهاب الكبد الوبائي ج يدل على العثور على ملصقات مطلوبين أنشأها جهازك المناعي بعد مواجهة مجرم خطير. هذه الأجسام المضادة تظهر أن جسمك قد التقى بفيروس التهاب الكبد الوبائي ج من قبل، لكنها لا تخبرك إذا كان الفيروس لا يزال يختبئ في نظامك. فكر فيه مثل سجلات الأمان التي تظهر أن شخصاً مشبوهاً شوهد في مبناك، لكن ليس ما إذا كان لا يزال بالداخل أو غادر بالفعل. النتائج الإيجابية تتطلب فحوصات إضافية لتحديد ما إذا كان لديك عدوى نشطة تحتاج علاجاً. علاجات التهاب الكبد الوبائي ج الحديثة فعالة جداً ويمكنها شفاء معظم الناس تماماً، مما يجعل الكشف المبكر والعلاج حاسمين لمنع تلف الكبد.,"Hepatitis C Antibodies (Anti-HCV) is like finding wanted posters that your immune system created after encountering a dangerous criminal. These antibodies show that your body has met hepatitis C virus before, but they don't tell you if the virus is still hiding in your system. Think of it like security records showing someone suspicious was spotted in your building, but not whether they're still inside or already left. Positive results require additional tests to determine if you have an active infection that needs treatment. Modern hepatitis C treatments are highly effective and can cure most people completely, making early detection and treatment crucial for preventing liver damage."
Immunology & Serology – Inflammatory,CRP (C‑Reactive Protein),فحص البروتين التفاعلي ج يدل على قياس مستوى الدخان في منزلك لاكتشاف ما إذا كان هناك حريق يشتعل في مكان ما بالداخل. ينتج كبدك المزيد من البروتين التفاعلي ج كلما حدث التهاب في أي مكان في جسمك، مما يجعله نظام إنذار عام للمشاكل. فكر فيه مثل كاشف دخان يمكنه استشعار الحريق من أي غرفة لكنه لا يستطيع إخبارك بالضبط أي غرفة تحترق. المستويات الأعلى من البروتين التفاعلي ج تدل على أن جسمك يحارب شيئاً مثل العدوى أو الإصابة أو المرض المزمن، لكن الأطباء يحتاجون فحوصات إضافية لتحديد السبب بالضبط. يساعد هذا الفحص في مراقبة فعالية العلاج وتتبع ما إذا كان الالتهاب يتحسن أو يسوء مع مرور الوقت.,"CRP (C-Reactive Protein) is like measuring the smoke level in your house to detect if there's a fire burning somewhere inside. Your liver produces more CRP whenever inflammation occurs anywhere in your body, making it a general alarm system for trouble. Think of it like a smoke detector that can sense fire from any room but can't tell you exactly which room is burning. Higher CRP levels indicate your body is fighting something like infection, injury, or chronic disease, but doctors need additional tests to pinpoint the exact cause. This test helps monitor treatment effectiveness and track whether inflammation is getting better or worse over time."
Immunology & Serology – Inflammatory,High‑Sensitivity CRP (hs‑CRP),فحص البروتين التفاعلي ج عالي الحساسية يدل على وجود كاشف دخان فائق الحساسية يمكنه شم حتى أصغر خيوط الدخان قبل انتشار الحريق. بينما البروتين التفاعلي ج العادي يكتشف الالتهاب الكبير، النوع عالي الحساسية يلتقط مستويات منخفضة جداً من الالتهاب المزمن الذي يضر بأوعيتك الدموية بصمت على مدى سنوات. فكر فيه مثل وجود حارس أمن يلاحظ النشاط المشبوه حتى عندما يحاول مثيرو الشغب البقاء مختبئين والعمل بهدوء. المستويات المرتفعة قليلاً من البروتين التفاعلي ج عالي الحساسية تساعد في التنبؤ بخطر إصابتك بالنوبات القلبية والسكتات الدماغية قبل ظهور الأعراض الواضحة. هذا التحذير المبكر يسمح للأطباء بالتوصية بتغييرات نمط الحياة أو الأدوية لحماية قلبك وأوعيتك الدموية من الضرر المستقبلي.,"High-Sensitivity CRP (hs-CRP) is like having a super-sensitive smoke detector that can smell even the tiniest wisps of smoke before a fire spreads. While regular CRP detects major inflammation, hs-CRP catches very low levels of chronic inflammation that silently damage your blood vessels over years. Think of it like having a security guard who notices suspicious activity even when troublemakers are trying to stay hidden and work quietly. Slightly elevated hs-CRP levels help predict your risk of heart attacks and strokes before obvious symptoms appear. This early warning allows doctors to recommend lifestyle changes or medications to protect your heart and blood vessels from future damage."
Microbiology – Rapid / Microscopy,AFB Smear & Culture,فحص اللطاخة والمزرعة للبكتيريا المقاومة للحمض يدل على استخدام تقنيات تحري خاصة للقبض على مجرم محترف ماهر في الاختباء والتنكر. يبحث هذا الفحص تحديداً عن بكتيريا السل والجراثيم المشابهة التي لها أغلفة شمعية تجعلها صعبة الكشف بطرق الصبغ العادية. فكر فيه مثل استخدام كاميرات الأشعة تحت الحمراء والمراقبة الصبورة للقبض على لصوص يرتدون تمويهاً خاصاً لا تستطيع كاميرات الأمان العادية رؤيته. اللطاخة تعطي نتائج سريعة خلال ساعات، بينما المزرعة تستغرق أسابيع لكنها توفر دليلاً قاطعاً وتساعد الأطباء على اختيار المضادات الحيوية الأكثر فعالية. هذا النهج المكون من خطوتين حاسم لتشخيص السل مبكراً ومنع انتشاره لأفراد الأسرة والمجتمع.,"AFB Smear & Culture is like using special detective techniques to catch a master criminal who's excellent at hiding and disguising himself. This test specifically hunts for tuberculosis bacteria and related germs that have waxy coats making them hard to detect with regular staining methods. Think of it like using infrared cameras and patient surveillance to catch burglars who wear special camouflage that regular security cameras can't see. The smear gives quick results within hours, while culture takes weeks but provides definitive proof and helps doctors choose the most effective antibiotics. This two-step approach is crucial for diagnosing tuberculosis early and preventing its spread to family and community members."
Microbiology – Rapid / Microscopy,Gram Stain,فحص صبغة جرام يدل على استخدام نظام ترميز لوني خاص يكشف فوراً نوع الأعداء البكتيرية التي يحاربها جسمك. تقسم تقنية الصبغ السريعة هذه البكتيريا إلى مجموعتين رئيسيتين بناءً على تركيب جدار خليتها، فتظهر إما بنفسجية أو وردية تحت المجهر. فكر فيه مثل وجود قمصان فرق تخبرك فوراً أي فرق كرة قدم تلعب، مما يساعدك على معرفة استراتيجية اللعب المتوقعة. البكتيريا البنفسجية عادة تحتاج مضادات حيوية مختلفة عن الوردية، لذا هذا الفحص السريع الذي يستغرق 30 دقيقة يساعد الأطباء على اختيار العلاج الصحيح بينما ينتظرون نتائج المزرعة المفصلة. هذا التحديد المبكر يمكن أن ينقذ الحياة في العدوى الخطيرة حيث كل ساعة مهمة.,"Gram Stain is like using a special color-coding system that instantly reveals which type of bacterial enemies your body is fighting. This quick staining technique divides bacteria into two main groups based on their cell wall structure, appearing either purple or pink under the microscope. Think of it like having team jerseys that immediately tell you which soccer teams are playing, helping you know what game strategy to expect. Purple bacteria usually need different antibiotics than pink ones, so this rapid 30-minute test helps doctors choose the right treatment while waiting for detailed culture results. This early identification can be lifesaving in serious infections where every hour counts."
Microbiology – Rapid / Microscopy,H. pylori Stool Antigen,فحص يدل على البحث عن أدلة أن ضيوفاً غير مرغوب فيهم كانوا يعيشون في معدتك ويتركون قمامتهم خلفهم. يكتشف هذا الفحص قطعاً من بكتيريا الملوية البوابية في برازك، مؤكداً إذا كانت هذه الجراثيم المزعجة تقيم حالياً في بطانة معدتك. فكر فيه مثل العثور على أغلفة حلوى محددة لا يتركها إلا مجموعة معينة من الأطفال، مما يثبت أنهم كانوا يتسللون إلى منزلك. بكتيريا الملوية البوابية يمكنها أن تسبب قرح المعدة وتزيد خطر السرطان بخلق التهاب مزمن. النتائج الإيجابية تعني أنك تحتاج علاجاً بالمضادات الحيوية لطرد هؤلاء المستأجرين الضارين وشفاء بطانة معدتك قبل حدوث ضرر خطير,"H. pylori Stool Antigen is like checking for evidence that unwanted house guests have been living in your stomach and leaving their trash behind. This test detects pieces of Helicobacter pylori bacteria in your stool, confirming if these troublesome germs are currently residing in your stomach lining. Think of it like finding specific candy wrappers that only one particular group of kids would leave behind, proving they've been sneaking into your house. H. pylori bacteria can cause stomach ulcers and increase cancer risk by creating chronic inflammation. Positive results mean you need antibiotic treatment to evict these harmful tenants and heal your stomach lining before serious damage occurs."
Microbiology – Rapid / Microscopy,Rapid Strep A Antigen Test,"تخيل أن حلقك يؤلمك ويشعرك بالحرقة، كأن هناك شيئًا مزعجًا بالداخل. اختبار مستضد المكورات العقدية السريع (Strep A) يشبه نظام فحص سريع على مدخل سوق شعبي مزدحم. هو لا يبحث عن كل المارة، بل يركز فقط على شخص واحد معروف ومحدد هو بكتيريا ""ستريب أ"" التي تسبب التهاب الحلق أحيانًا ومشاكل أكبر. هذا الاختبار يعطيك إجابة سريعة جدًا، نعم أو لا، هل ""ستريب أ"" موجود؟ معرفة هذا بسرعة تساعدك تحصل على العلاج الصحيح على طول، وتوقف المشكلة من بدايتها عشان ترتاح وتتحسن أسرع.","Imagine your throat feels rough and sore, like something scratchy is stuck there. The Rapid Strep A Antigen Test is like a quick security check at a busy marketplace entrance. It doesn't look for every person, but specifically for one known troublemaker: Strep A bacteria, which often causes sore throats and can lead to bigger problems. This test gives a super-fast ""yes"" or ""no"" answer—is Strep A present? Getting this result quickly means you can get the right treatment right away, stopping the problem early so you can feel better much sooner."
Microbiology – Rapid / Microscopy,Stool Ova & Parasite Examination,"إذا كنت تعاني من مشاكل في بطنك، مثل الإسهال المستمر أو تعب غير معتاد، فقد يطلب طبيبك فحص البراز للبحث عن البيض والطفيليات. تخيل أن هذا الفحص مثل إرسال عينة صغيرة من برازك إلى مختبر، حيث يعمل العلماء كالمحققين بمنظار مكبر. هم يبحثون عن ""ضيوف غير مرغوب فيهم"" صغار ومختبئين – بيض مجهري أو طفيليات قد تعيش في أمعائك، مثل قطة ضالة تسكن في فناء منزلك دون أن تدري. العثور عليهم يساعد طبيبك في معرفة سبب مشاكلك بالضبط لتأخذ العلاج المناسب وتشعر بتحسن.","
If you've been having tummy troubles, like a persistent upset stomach or feeling unusually tired, your doctor might suggest a Stool Ova & Parasite Examination. Think of this test as sending a small sample of your stool to a lab, where scientists act like detectives with powerful microscopes. They're searching for tiny, hidden ""unwanted guests"" – microscopic eggs (ova) or actual parasites that might be living in your intestines, like uninvited hitchhikers on a long desert road. Finding them helps your doctor figure out exactly what's causing your symptoms so you can get the right medicine and feel well again."
Microbiology – Routine Cultures,Blood Culture & Sensitivity,"إذا كنت تشعر بمرض شديد مع حمى عالية، قد يطلب طبيبك مزرعة دم وحساسية. تخيل دمك مثل شبكة أنابيب المياه الرئيسية في مدينة كبيرة. هذا الفحص يشبه أخذ عينة من هذه الأنابيب لنرى ما إذا كانت هناك ""جراثيم"" غير مرغوب فيها (بكتيريا أو فطريات) تنمو وتتدفق في نظامك. إذا وجدناها، فإن جزء ""الحساسية"" يشبه اختبار أي ""مادة تنظيف"" محددة (مضاد حيوي) ستكون الأفضل للقضاء عليها، لضمان الحصول على العلاج الصحيح بسرعة وتتحسن صحتك.","
If you're feeling very sick with a high fever, your doctor might order a Blood Culture & Sensitivity test. Imagine your blood is like the main water supply pipes in a large city. This test is like taking a sample from those pipes to see if any unwanted ""germs"" (bacteria or fungi) are growing and flowing through your system. If we find them, the ""sensitivity"" part is like checking which specific ""cleaning agent"" (antibiotic) will work best to clear them out, ensuring the right treatment gets to work fast and you recover smoothly."
Microbiology – Routine Cultures,Sputum Culture,"إذا كان لديك كحة لا تختفي، خاصة مع الكثير من البلغم، قد يطلب طبيبك مزرعة بلغم. تخيل رئتيك مثل شجرة نخيل، والبلغم يشبه السائل الذي يخرج منها أحيانًا عندما تكون غير صحية. هذا الفحص يشبه جمع القليل من هذا ""السائل"" وإرساله للمختبر. هناك، يحاول الخبراء تنمية وتحديد أي ""بذور سيئة"" (بكتيريا أو فطريات) لا ينبغي أن تكون في رئتيك. هذا يساعد طبيبك في العثور على الجرثومة المحددة التي تسبب سعالك وإعطائك أفضل دواء لتتخلص منها.","
If you have a cough that won't go away, especially with a lot of phlegm, your doctor might ask for a Sputum Culture. Think of your lungs as a date palm tree, and the sputum (phlegm) is like the sap that sometimes comes out when it's unhealthy. This test is like collecting a small bit of that ""sap"" and sending it to a lab. There, experts try to grow and identify any ""bad seeds"" (bacteria or fungi) that shouldn't be in your lungs. This helps your doctor find the exact germ causing your cough and give you the best medicine to clear it up."
Microbiology – Routine Cultures,Stool Culture,"إذا كنت تعاني من إسهال شديد، خاصة مع حمى أو مغص في البطن، قد يطلب طبيبك مزرعة براز. هذا الفحص يشبه إرسال عينة صغيرة من برازك إلى ""مزرعة"" خاصة في المختبر. لا يبحثون عن الطفيليات (مثل فحص آخر)، بل يحاولون تحديد وتنمية ""غزاة"" بكتيرية معروفة تسبب التسمم الغذائي أو التهابات معوية حادة، تمامًا مثل تتبع مصدر طعام فاسد في سوق الخضار. العثور على هذه البكتيريا المحددة يساعد طبيبك في اختيار المضاد الحيوي المناسب لإيقاف العدوى وإعادة جهازك الهضمي لطبيعته","
If you're experiencing severe diarrhea, especially with fever or stomach cramps, your doctor might order a Stool Culture. This test is like sending a small sample of your stool to a special ""farm"" in the lab. They're not looking for parasites (like another test), but specifically trying to grow and identify common bacterial ""invaders"" that cause food poisoning or severe gut infections, similar to tracing the source of spoiled food at a local market. Finding these specific bacteria helps your doctor choose the right antibiotic to stop the infection and get your digestion back on track."
Microbiology – Routine Cultures,Throat Swab Culture,"إذا كان التهاب حلقك مؤلمًا جدًا ومثيرًا للريبة، قد يقوم طبيبك بـمزرعة مسحة الحلق. هذا الفحص يشبه مسح حلقك بلطف باستخدام عود قطني طويل لجمع عينة صغيرة. ثم، تذهب هذه العينة إلى المختبر، حيث يعملون كـ ""وكالة لكشف الجراثيم"". يحاولون تنمية وتحديد من هم ""المتهمين"" (بكتيريا) الذين سببوا التهاب حلقك، مثل بكتيريا ""ستريب أ""، تمامًا مثل البحث عن سيارة معينة مسببة لازدحام مروري. تحديد الجرثومة بالضبط يضمن حصولك على الدواء المناسب لتتحسن بسرعة.","
If your sore throat is very painful and suspicious, your doctor might do a Throat Swab Culture. This test is like gently brushing the back of your throat with a long cotton bud to collect a tiny sample. Then, this sample goes to a lab, where they act like a ""germ detective agency."" They try to grow and identify any specific ""bad actors"" (bacteria) that might be causing your sore throat, such as Strep A, similar to checking security camera footage for a specific suspect. Pinpointing the exact germ helps ensure you get the right medicine to feel better quickly."
Microbiology – Routine Cultures,Urine Culture & Sensitivity,"إذا كنت تشعر بحرقة عند التبول، أو تذهب للحمام كثيرًا، قد يطلب طبيبك مزرعة بول وحساسية. تخيل أن المثانة ومجاري البول لديك مثل شبكة أنابيب المياه في بيتك. هذا الفحص يشبه أخذ عينة صغيرة من هذا النظام لنرى هل هناك ""ضيوف غير مرغوب فيهم"" (بكتيريا) تنمو هناك، تمامًا كفحص ما إذا كان هناك تسريب أو انسداد في مواسير الماء. لو وجدوا جراثيم، فإن جزء ""الحساسية"" يخبرنا أي دواء تحديدًا سيكون الأفضل للقضاء عليها، عشان ترتاح وتتحسن بسرعة.","If you're feeling a burning sensation when you pee, or constantly needing to go, your doctor might order a Urine Culture & Sensitivity test. Think of your bladder and urinary pipes like the main water system of your home. This test is like taking a small sample from that system to see if any ""unwanted residents"" (bacteria) are growing there, similar to finding out if there's a leak or blockage causing issues in your plumbing. If germs are found, the ""sensitivity"" part tells us exactly which medicine will work best to clear them out, getting you back to feeling comfortable quickly."
Microbiology – Routine Cultures,Wound Swab Culture,"إذا كان لديك جرح أحمر أو متورم أو لا يلتئم جيدًا، قد يأخذ طبيبك مزرعة مسحة جرح. هذا الفحص يشبه مسح الجرح بلطف بعود قطني لجمع عينات صغيرة. ثم، تذهب هذه العينة إلى المختبر، حيث يعمل الخبراء كالمزارعين الذين يحاولون زراعة أي ""أعشاب ضارة"" مخفية (بكتيريا أو فطريات) قد تسبب الالتهاب. تحديد هذه الجراثيم المحددة مهم جدًا، تمامًا كمعرفة أي حشرة بالضبط تؤذي زرعك في المزرعة، حتى يصف لك الطبيب الدواء المناسب ليشفى جرحك تمامًا.","if you have a cut or wound that looks red, swollen, or isn't healing well, your doctor might take a Wound Swab Culture. This test is like gently rubbing a cotton bud over the wound to collect tiny samples. Then, this sample goes to a lab, where experts act like gardeners trying to grow any hidden ""weeds"" (bacteria or fungi) that might be causing an infection. Identifying these specific germs is crucial, like knowing exactly which pest is harming your garden plants, so your doctor can prescribe the right medicine to help your wound heal properly."
Urinalysis – Additional,Albumin / Creatinine Ratio,اذا كان طبيبك يفحص صحة كليتيك، قد ينظر إلى نسبة الألبومين إلى الكرياتينين في بولك. تخيل كليتيك كفلتر ماء دقيق جدًا في بيتك ينظف الدم. الألبومين بروتين مهم يجب أن يبقى في الدم ولا يمر عبر الفلتر. أما الكرياتينين فهو فضلات يجب أن تمر. هذا الفحص يشبه التأكد إذا كان هناك حصى صغيرة وثمينة (ألبومين) تمر بالخطأ من فلتر ماء تعبان، وهذا يخبرنا لو كان فلتر كليتيك قد يكون متعبًا أو متضررًا، ويحتاج لانتباه.,"If your doctor is checking on your kidney health, they might look at the Albumin / Creatinine Ratio in your urine. Think of your kidneys as very fine coffee filters, cleaning your blood. Albumin is an important protein that should stay in your blood, not pass through the filter. Creatinine is a waste product that should pass. This test is like checking if tiny, valuable coffee grounds (albumin) are accidentally slipping through a worn-out filter, which tells us if your kidney filters might be stressed or damaged, signaling a need for attention"
Urinalysis – Additional,Creatinine (Urine),"عندما يفحص طبيبك وظائف كليتيك، قد ينظر إلى مستوى الكرياتينين (في البول). تخيل كليتيك كنظام ""تصريف الفضلات"" في جسمك، مثل مضخة ماء تدفع الماء غير المرغوب فيه بكفاءة من مزرعة. الكرياتينين مادة فضلات طبيعية تنتجها عضلاتك يوميًا. هذا الفحص يقيس كمية الكرياتينين التي تنجح كليتيك في إزالتها إلى بولك. المستوى الصحي يظهر أن ""مضخة"" كليتيك تعمل بشكل جيد، وتزيل الفضلات كما يجب، وهذا مهم جدًا لصحتك العامة.","When your doctor checks your kidney function, they might look at Creatinine (Urine) levels. Think of your kidneys as the ""waste disposal"" system for your body, like a water pump efficiently pushing out unwanted water from a farm. Creatinine is a normal waste product your muscles produce daily. This test checks how much creatinine your kidneys are successfully removing into your urine. A healthy level shows your kidney ""pump"" is working well, removing waste as it should, which is vital for your overall health"
Urinalysis – Additional,Microalbumin,"عند فحص صحة كليتيك، غالبًا ما ينظر الأطباء إلى شيئين في بولك: كرياتينين (بول) وميكروألبومين. تخيل كليتيك كنظام إدارة المياه في مزرعة نخيل كبيرة، تنظف المياه وتعيد تدويرها. الكرياتينين مادة فضلات طبيعية يجب أن تُزال بسهولة وتخرج في ""مياه الصرف"" (البول). أما الميكروألبومين فهو كمية صغيرة جدًا من البروتين لا يجب أن تكون في البول أبدًا، تمامًا كالعثور على بضع حبات تمر ثمينة تسقط بالخطأ في سلة المهملات. رؤية هذين الاثنين معًا يساعد الأطباء في تقييم مدى كفاءة عمل فلاتر كليتيك في الاحتفاظ بالمواد الجيدة وإخراج الفضلات.","When checking your kidney health, doctors often look at two things in your urine: Creatinine (Urine) and Microalbumin. Think of your kidneys as the water management system for a huge date palm farm, cleaning and cycling water. Creatinine is a normal waste product that should be easily removed and sent out in the ""waste water"" (urine). Microalbumin is a tiny amount of protein that should not be in the urine at all, like finding a few valuable dates accidentally slipping into the waste bin. Seeing these two together helps doctors assess how well your kidney's filters are working to keep the good stuff in and send the waste out."
Urinalysis – Routine,Bilirubin (Urine),"إذا اشتبه طبيبك في مشكلة بالكبد أو المرارة، قد يفحص عن البيليروبين (في البول). البيليروبين مادة صفراء عادة يعالجها كبدك، تمامًا مثل كيف يدير طريق سريع مزدحم حركة المرور. عادة لا يظهر في بولك. هذا الفحص يشبه رؤية سيارات معينة (البيليروبين) التي يجب أن تسلك طريقًا واحدًا (عبر الكبد) تظهر فجأة في طريق غير متوقع (في بولك). لو وجد، يمكن أن يشير إلى أن نظام ""إدارة المرور"" في كبدك قد لا يعمل بشكل صحيح، مما يستدعي المزيد من الفحص.","If your doctor suspects an issue with your liver or gallbladder, they might check for Bilirubin (Urine). Bilirubin is a yellow substance normally processed by your liver, kind of like how a busy highway manages traffic flow. It usually doesn't show up in your urine. This test is like seeing if certain cars (bilirubin) that should be taking one route (through the liver) are suddenly appearing on an unexpected road (in your urine). If found, it can signal that your liver's ""traffic management"" system might not be working correctly, prompting further investigation."
Urinalysis – Routine,Blood,عندما يقوم طبيبك بتحليل بول روتيني، سيفحص عن الدم (في البول). بولك يجب أن يكون صافيًا وخاليًا من الدم عادةً. العثور على دم في بولك يشبه رؤية رمل أحمر غير متوقع في كوب ماء نظيف– إنها إشارة إلى أن شيئًا ما قد يكون خطأ. هذا الفحص لا يخبرنا لماذا هو موجود، لكنه ينبه طبيبك بسرعة لمشاكل محتملة في أي مكان على طول المسالك البولية، من الكلى إلى المثانة، مما يستدعي المزيد من الفحص للعثور على السبب وضمان صحتك.,"When your doctor performs a routine urinalysis, they'll check for Blood (Urine). Your urine should normally be clear and free of blood. Finding blood in your urine is like seeing unexpected red sand on a clean, paved desert road – it's a sign something might be off. This test doesn't tell us why it's there, but it quickly alerts your doctor to potential issues anywhere along your urinary tract, from kidneys to bladder, prompting further investigation to find the cause and ensure your health."
Urinalysis – Routine,Glucose,"خلال تحليل بول روتيني، سيفحص طبيبك عن الجلوكوز (في البول). الجلوكوز هو السكر الذي يستخدمه جسمك للطاقة، مثل وقود خزان سيارتك. عادة، كليتيك ممتازة في الحفاظ على كل هذا السكر الثمين في دمك، ولا تسمح له بالانسكاب في بولك. هذا الفحص يشبه التحقق مما إذا كان ""خزان وقودك"" (الكلى) يسرب السكر بالخطأ إلى ""أنبوب الصرف"" (البول). العثور على الجلوكوز في البول يمكن أن يكون علامة مبكرة على أن جسمك لا يدير مستويات السكر جيدًا، وغالبًا ما يرتبط بحالات مثل السكري.","During a routine urinalysis, your doctor will check for Glucose (Urine). Glucose is the sugar your body uses for energy, like the fuel in your car's tank. Normally, your kidneys are excellent at keeping all this valuable sugar in your blood, not letting it spill into your urine. This test is like checking if your ""fuel tank"" (kidneys) is accidentally leaking sugar into your ""waste pipe"" (urine). Finding glucose in urine can be an early sign that your body isn't managing sugar levels well, often related to conditions like diabetes."
Urinalysis – Routine,Ketones,"إذا كان جسمك لا يستخدم السكر للطاقة بشكل صحيح، قد يفحص طبيبك عن الكيتونات (في البول) خلال تحليل البول. الكيتونات هي مواد يصنعها جسمك عندما يبدأ بحرق الدهون كوقود بدل السكر، تمامًا مثل سيارة تحول إلى خزان الوقود الاحتياطي عندما يفرغ الخزان الرئيسي. عادة، لا يجب أن يكون لديك كيتونات في بولك. هذا الفحص يشبه رؤية ما إذا كان جسمك قد قام بـ ""تبديل الوقود"" هذا. العثور على الكيتونات يمكن أن يشير إلى أن جسمك لا يحصل على سكر كافٍ، وهي إشارة مهمة لحالات مثل السكري أو المرض الشديد.","If your body isn't using sugar for energy properly, your doctor might check for Ketones (Urine) during a urinalysis. Ketones are substances your body makes when it starts burning fat for fuel instead of sugar, like a car switching to its reserve fuel tank when the main one is empty. Normally, you shouldn't have ketones in your urine. This test is like seeing if your body has made this ""fuel switch."" Finding ketones can signal that your body isn't getting enough sugar, which is an important clue for conditions like diabetes or severe illness."
Urinalysis – Routine,Leukocyte Esterase,"إذا كنت تشعر بحرقة عند التبول أو تحتاج للذهاب للحمام كثيرًا، قد يفحص طبيبك عن إنزيم كريات الدم البيضاء (Leukocyte Esterase) في بولك. تخيل هذا الفحص كـ ""جهاز كشف الدخان"" سريع لجهازك البولي. إنزيم كريات الدم البيضاء هو مادة تطلقها خلايا الدم البيضاء، وهي ""جنود"" جسمك الصغيرة التي تحارب الالتهابات. إذا تم اكتشاف هذا الإنزيم، فهذا يشبه جرس إنذار الدخان الذي يدق – لا يخبرك أين يوجد الحريق، لكنه إشارة سريعة لوجود ""الجنود"" هؤلاء، مما يشير غالبًا إلى احتمال وجود التهاب في المسالك البولية يحتاج لانتباه قريب.","If you're experiencing symptoms like burning when you pee or frequent urges to go, your doctor might check for Leukocyte Esterase in your urine. Think of this test as a quick ""smoke detector"" for your urinary system. Leukocyte esterase is an enzyme released by white blood cells, which are your body's tiny soldiers fighting infection. If this enzyme is detected, it's like the smoke detector going off – it doesn't tell you where the fire is, but it's a fast signal that these ""soldier cells"" are present, often indicating a possible urinary tract infection that needs closer attention."
Urinalysis – Routine,"Microscopic – RBC, WBC, Casts, Crystals, Bacteria","عندما يقوم طبيبك بـفحص البول المجهري، فإنه يقوم بفحص دقيق جدًا لعينة بولك. تخيل الأمر كأخذ قطرة صغيرة من بولك وفحصها تحت مجهر قوي، تمامًا مثلما يستخدم مستكشف الصحراء منظارًا ليرى أدق التفاصيل من بعيد. يبحثون عن:
خلايا الدم الحمراء (RBCs): ""قوافل حمراء"" صغيرة لا ينبغي أن تكون موجودة.
خلايا الدم البيضاء (WBCs): ""جنود"" جسمك الذين يحاربون شيئًا ما.
الأسطوانات (Casts): قوالب صغيرة أو ""آثار أقدام"" من داخل فلاتر كليتيك.
البلورات (Crystals): ""تكونات ملحية"" صغيرة قد تسبب أحيانًا حصوات الكلى.
البكتيريا (Bacteria): ""ضيوف غير مرغوب فيهم"" مجهريون يمكن أن يسببوا التهابات.
العثور على هذه الدلائل يساعد طبيبك في معرفة ما يحدث بالضبط في كليتيك أو المسالك البولية.","When your doctor does a Microscopic Urinalysis, they're taking a deep dive into your urine sample. Think of it like taking a tiny drop of your urine and examining it under a powerful microscope, similar to how a desert explorer uses binoculars to spot tiny details from a distance. They're looking for:

RBCs (Red Blood Cells): Tiny red ""caravans"" that shouldn't be there.
WBCs (White Blood Cells): Your body's ""soldiers"" fighting something.
Casts: Little molds or ""footprints"" from inside your kidney filters.
Crystals: Tiny ""salt formations"" that can sometimes cause kidney stones.
Bacteria: Microscopic ""unwanted guests"" that can cause infections.
Finding these clues helps your doctor piece together exactly what's happening with your kidneys or urinary tract."
Urinalysis – Routine,Nitrites,"إذا اشتبه طبيبك في وجود التهاب في المسالك البولية، قد يفحص عن النتريت في بولك. هذا الفحص يشبه نظام إنذار خاص جدًا. أنواع معينة من البكتيريا التي تسبب التهابات المسالك البولية غالبًا لديها قدرة فريدة على تحويل مادة غير ضارة (النيترات) الموجودة عادة في بولك إلى نتريت. لذا، العثور على النتريت في بولك هو مؤشر قوي على وجود هذه ""البكتيريا السيئة"" بالذات وتكاثرها بنشاط، تمامًا كجرس إنذار سيارة معين يدق فقط عندما يحاول نوع معين من اللصوص اقتحامها، مما يستدعي التصرف السريع.","If your doctor suspects a urinary tract infection, they might check for Nitrites in your urine. This test is like a very specific alarm system. Certain types of bacteria that commonly cause urinary infections have a unique ability to turn a harmless substance (nitrates) that's usually in your urine into nitrites. So, finding nitrites in your urine is a strong indicator that these particular ""bad bacteria"" are present and actively growing, similar to a specific car alarm going off only when a certain type of thief is trying to break in, prompting quick action"
